country,population,life_expect,fertility,fertility_adol,mortal_5,mobile_phones,migration,electricity,gdp,inflation,pop_growth,surface_area,unemployment_rate
Qatar,2760385.0,79.1,1.82,7.7,5.7,137.61,-163999.0,100.0,58476.2,-2.54,-1.68,11490.0,0.14
Romania,19265250.0,74.35,1.6,36.76,6.7,116.18,-12724.0,100.0,10898.83,2.63,-0.55,238400.0,5.03
Russian Federation,144073139.0,71.34,1.51,14.83,5.4,163.59,340711.0,100.0,9713.37,3.38,-0.23,17098250.0,5.59
Rwanda,13146362.0,66.77,3.87,32.33,40.7,80.74,-1579.0,46.6,822.07,9.85,2.4,26340.0,13.01
Samoa,214929.0,72.77,4.0,44.19,17.1,32.1,-1060.0,100.0,4223.64,-1.57,1.42,2840.0,9.79
Saudi Arabia,35997107.0,76.24,2.47,12.03,7.0,120.05,-1025295.0,100.0,18085.54,3.45,0.47,2149690.0,7.45
Senegal,16436120.0,68.01,4.45,67.62,40.1,116.08,-10090.0,70.37,1390.82,2.55,2.68,196710.0,3.51
Serbia,6899126.0,74.23,1.48,14.5,5.6,120.22,243.0,100.0,6552.09,1.58,-0.67,84990.0,9.01
Sierra Leone,8233970.0,59.76,4.08,103.49,108.5,83.61,1292.0,26.2,604.42,13.45,2.3,72300.0,3.57
Singapore,5685807.0,83.74,1.1,2.6,2.2,142.89,21324.0,100.0,58982.46,-0.18,-0.31,728.0,4.1
Slovak Republic,5458827.0,76.87,1.57,26.35,5.7,133.59,1746.0,100.0,17611.76,1.94,0.09,49030.0,6.69
Slovenia,2102419.0,80.53,1.6,4.39,2.2,120.46,7681.0,100.0,22928.76,-0.05,0.67,20480.0,4.97
Solomon Islands,691191.0,70.2,4.04,60.73,19.4,68.58,-808.0,73.35,2079.54,2.96,2.37,28900.0,0.89
South Africa,58801927.0,65.25,2.4,62.74,33.7,163.19,30852.0,84.39,5726.26,3.21,1.22,1219090.0,24.34
Spain,47365655.0,82.33,1.23,5.98,3.1,117.49,208791.0,100.0,24785.45,-0.32,0.49,505969.89,15.53
Sri Lanka,21919000.0,76.39,2.0,15.85,7.0,136.91,-92400.0,100.0,4280.85,6.15,0.53,65610.0,5.2
St. Lucia,179237.0,73.42,1.41,37.41,24.5,113.26,0.0,100.0,8361.39,-1.76,0.37,620.0,20.39
St. Vincent and the Grenadines,104632.0,72.13,1.81,48.42,14.2,92.76,-379.0,100.0,7798.53,-0.63,-0.28,390.0,20.55
Sudan,44440486.0,65.61,4.54,82.21,56.6,79.2,86.0,55.39,1828.16,150.32,2.76,1878000.0,19.29
Suriname,607065.0,72.56,2.37,56.03,17.7,148.15,-313.0,98.2,7275.29,34.89,1.12,163820.0,9.52
Sweden,10353442.0,82.41,1.66,3.33,2.5,123.37,81066.0,100.0,51952.67,0.5,0.72,528860.7,8.29
Switzerland,8638167.0,83.1,1.46,2.19,3.9,127.41,53786.0,100.0,84434.78,-0.73,0.73,41290.39,4.82
Tanzania,61704518.0,66.41,4.8,124.48,49.0,83.01,-15795.0,39.9,1027.29,3.29,3.01,947300.0,2.78
Thailand,71475664.0,79.27,1.34,33.22,8.6,162.7,35526.0,100.0,6042.02,-0.85,0.24,513120.0,1.1
Togo,8442580.0,61.04,4.32,78.99,64.6,77.19,-995.0,54.0,614.46,1.83,2.39,56790.0,4.03
Tonga,105254.0,70.93,3.27,19.1,11.4,58.91,-948.0,100.0,4637.71,-0.35,0.29,750.0,2.65
Trinidad and Tobago,1518147.0,74.41,1.63,38.57,16.8,130.95,2370.0,100.0,14397.55,0.6,-0.12,5130.0,4.21
Tunisia,12161723.0,75.29,2.11,6.81,16.6,122.13,-9189.0,100.0,3703.24,5.63,0.93,163610.0,16.37
Turkiye,84135428.0,75.85,1.92,17.74,9.5,97.61,-80952.0,100.0,12072.44,12.28,0.78,785350.0,13.11
Uganda,44404611.0,62.85,4.69,109.58,43.7,62.36,43465.0,42.07,918.12,3.31,3.33,241550.0,4.51
